number,name,org_code,district_type,website,status,reason,error
254,Northborough,02130000,Public School District,http://www.nsboro.k12.ma.us,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
256,Northeast Metropolitan Regional Vocational Technical,08530000,Public School District,https://northeastmetrotech.com,520,http_520,
258,Norton,02180000,Public School District,https://www.norton.k12.ma.us,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
260,Norwood,02200000,Public School District,https://www.norwood.k12.ma.us,,ssl_error,"HTTPSConnectionPool(host='www.norwood.k12.ma.us', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
267,Oxford,02260000,Public School District,https://www.oxps.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
286,Plympton,02400000,Public School District,https://des.slrsd.org,,ssl_error,"HTTPSConnectionPool(host='des.slrsd.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
293,Randolph,02440000,Public School District,https://www.randolph.k12.ma.us,,ssl_error,"HTTPSConnectionPool(host='www.randolph.k12.ma.us', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
301,Rockport,02520000,Public School District,https://www.rpk12.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
302,Rowe,02530000,Public School District,https://Roweschool.com,,connection_error,"HTTPSConnectionPool(host='roweschool.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7f37705cb920>: Failed to resolve 'roweschool.com' ([Errno -2] Name or service not known)""))"
303,Roxbury Preparatory Charter (District),04840000,Charter District,https://roxburyprep.uncommonschools.org/,403,http_403,
306,Sandwich,02610000,Public School District,http://www.sandwichk12.org/,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
309,Scituate,02640000,Public School District,https://scit.org/,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
316,Silver Lake,07600000,Public School District,https://slrsd.org,,ssl_error,"HTTPSConnectionPool(host='slrsd.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
319,Somerset Berkley Regional School District,07630000,Public School District,https://somersetschools.org,,ssl_error,"HTTPSConnectionPool(host='somersetschools.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'somersetschools.org'. (_ssl.c:1000)"")))"
320,Somerville,02740000,Public School District,https://www.somerville.k12.ma.us,,ssl_error,"HTTPSConnectionPool(host='www.somerville.k12.ma.us', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.somerville.k12.ma.us'. (_ssl.c:1000)"")))"
326,Southborough,02760000,Public School District,http://www.nsboro.k12.ma.us,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
329,Southern Berkshire,07650000,Public School District,https://www.sbrsd.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
347,Taunton,02930000,Public School District,http://www.tauntonschools.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
350,Topsfield,02980000,Public School District,https://www.tritownschoolunion.com,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
352,Triton,07730000,Public School District,http://www.tritonschools.org,403,http_403,
355,UP Academy Charter School of Dorchester (District),35050000,Charter District,https://www.upacademydorchester.org,,timeout,"HTTPSConnectionPool(host='www.upacademydorchester.org', port=443): Read timed out. (read timeout=10.0)"
358,Uxbridge,03040000,Public School District,https://www.uxbridgeschools.com,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
364,Waltham,03080000,Public School District,https://www.walthampublicschools.org/,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
368,Watertown,03140000,Public School District,http://www.watertown.k12.ma.us,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
369,Wayland,03150000,Public School District,http://www.wayland.k12.ma.us,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
373,West Boylston,03220000,Public School District,https://www.wbschools.com/,,connection_error,"HTTPSConnectionPool(host='www.wbschools.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f37704e0560>, 'Connection to www.wbschools.com timed out. (connect timeout=10.0)'))"
375,West Springfield,03320000,Public School District,https://www.wsps.org,403,http_403,
378,Westford,03260000,Public School District,http://westfordk12.us/Pages/index,404,http_404,
390,Winchester,03440000,Public School District,https://www.winchesterps.org,,connection_error,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
392,Woburn,03470000,Public School District,https://www.woburnpublicschools.com,,ssl_error,"HTTPSConnectionPool(host='www.creocoding.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
