number,name,org_code,district_type,website
96,Duxbury,00820000,Public School District,https://www.duxbury.k12.ma.us
97,East Bridgewater,00830000,Public School District,https://www.ebps.net
98,East Longmeadow,00870000,Public School District,https://www.eastlongmeadowma.gov/378/Schools
99,Eastham,00850000,Public School District,http://nausetschools.org
100,Easthampton,00860000,Public School District,https://www.epsd.us
101,Easton,00880000,Public School District,https://eastonmaschools.org
102,Edgartown,00890000,Public School District,https://mvyps.org
103,Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public,,Charter District,https://www.kennedyacademy.org
104,Erving,00910000,Public School District,https://www.union28.org
105,Essex North Shore Agricultural and Technical School District,08170000,Public School District,https://essexnorthshore.org
106,Everett,00930000,Public School District,https://www.everettpublicschools.org/
107,Excel Academy Charter (District),04100000,Charter District,https://www.excelacademy.org
108,Fairhaven,00940000,Public School District,https://www.fairhavenps.org/
109,Fall River,00950000,Public School District,https://www.fallriverschools.org
110,Falmouth,00960000,Public School District,https://www.falmouth.k12.ma.us
111,Farmington River Reg,06620000,Public School District,https://www.frrsd.org
112,Fitchburg,00970000,Public School District,http://www.fitchburgschools.org
113,Florida,00980000,Public School District,https://www.abbottmemorial.org
114,Four Rivers Charter Public (District),04130000,Charter District,https://www.fourriverscharter.org
115,Foxborough,00990000,Public School District,http://www.foxborough.k12.ma.us
116,Foxborough Regional Charter (District),04460000,Charter District,https://www.foxboroughrcs.org/
117,Framingham,01000000,Public School District,https://framingham.k12.ma.us/23249_1
118,Francis W. Parker Charter Essential (District),04780000,Charter District,https://www.theparkerschool.org
119,Franklin,01010000,Public School District,http://www.franklinps.net
120,Franklin County Regional Vocational Technical,08180000,Public School District,https://www.fcts.us
121,Freetown-Lakeville,06650000,Public School District,https://www.freelake.org
122,Frontier,06700000,Public School District,https://www.frsu38.org
123,Gardner,01030000,Public School District,https://www.gardnerk12.org
124,Gateway,06720000,Public School District,https://www.grsd.org
125,Georgetown,01050000,Public School District,https://georgetown.k12.ma.us
126,Gill-Montague,06740000,Public School District,https://www.gmrsd.org
127,Global Learning Charter Public (District),04960000,Charter District,https://www.glcps.org/
128,Gloucester,01070000,Public School District,https://www.gloucesterschools.com
129,Gosnold,01090000,Public School District,https://www.gosnold-ma.gov
130,Grafton,01100000,Public School District,http://graftonps.org/Domain/11
131,Granby,01110000,Public School District,https://www.granbyschoolsma.org/
132,Greater Commonwealth Virtual District,39010000,Public School District,https://www.gcvs.org
133,Greater Fall River Regional Vocational Technical,08210000,Public School District,https://www.dimanregional.org
134,Greater Lawrence Regional Vocational Technical,08230000,Public School District,https://www.glts.net
135,Greater Lowell Regional Vocational Technical,08280000,Public School District,http://www.gltech.org
136,Greater New Bedford Regional Vocational Technical,08250000,Public School District,http://www.gnbvt.edu
137,Greenfield,01140000,Public School District,https://gpsk12.org/
138,Groton-Dunstable,06730000,Public School District,https://www.gdrsd.org
139,Hadley,01170000,Public School District,https://www.hadleyschools.org
140,Halifax,01180000,Public School District,https://hes.slrsd.org
141,Hamilton-Wenham,06750000,Public School District,https://www.hwschools.net
142,Hampden Charter School of Science (District),04990000,Charter District,http://www.hampdencharter.org
143,Hampden-Wilbraham,06800000,Public School District,https://www.hwrsd.org
144,Hampshire,06830000,Public School District,https://www.hr-k12.org
145,Hancock,01210000,Public School District,https://www.hancockschool.org
146,Hanover,01220000,Public School District,http://hanoverschools.org
147,Harvard,01250000,Public School District,https://www.psharvard.org
148,Hatfield,01270000,Public School District,http://www.hatfieldps.net
149,Haverhill,01280000,Public School District,http://www.haverhill-ps.org
150,Hawlemont,06850000,Public School District,https://www.mtrsd.org/
151,Hill View Montessori Charter Public (District),04550000,Charter District,https://www.hillviewmontessori.org
152,Hilltown Cooperative Charter Public (District),04500000,Charter District,https://hilltowncharter.org
153,Hingham,01310000,Public School District,https://www.hinghamschools.org
154,Holbrook,01330000,Public School District,https://www.holbrook.k12.ma.us
155,Holland,01350000,Public School District,https://www.tantasqua.org
156,Holliston,01360000,Public School District,https://www.holliston.k12.ma.us
157,Holyoke,01370000,Public School District,http://www.hps.holyoke.ma.us/
158,Holyoke Community Charter (District),04530000,Charter District,https://www.hccs-sabis.net
159,Hoosac Valley Regional,06030000,Public School District,https://www.hoosacvalley.org
160,Hopedale,01380000,Public School District,https://www.hopedaleschools.org
161,Hopkinton,01390000,Public School District,http://www.hopkinton.k12.ma.us
162,Hudson,01410000,Public School District,https://www.hudson.k12.ma.us/
163,Hull,01420000,Public School District,https://www.hullpublicschools.org/
164,Innovation Academy Charter (District),04350000,Charter District,https://www.innovationcharter.org
165,Institutional Schools,03700000,Public School District,https://www.doe.mass.edu/seis
166,Ipswich,01440000,Public School District,http://www.ipsk12.net
167,KIPP Academy Boston Charter School (District),04630000,Charter District,https://www.kippma.org
168,KIPP Academy Lynn Charter (District),04290000,Charter District,https://www.kippma.org
169,King Philip,06900000,Public School District,http://www.kingphilip.org
170,Kingston,01450000,Public School District,https://slrsd.org
171,Lawrence,01490000,Public School District,https://www.lawrence.k12.ma.us
172,Lawrence Family Development Charter (District),04540000,Charter District,https://lfdcs.org
173,Learning First Charter Public School (District),04860000,Charter District,https://learningfirstcharter.org
174,Lee,01500000,Public School District,https://www.leepublicschools.net
175,Leicester,01510000,Public School District,https://www.leicester.k12.ma.us
176,Lenox,01520000,Public School District,https://www.lenoxps.org
177,Leominster,01530000,Public School District,https://www.leominsterps.org
178,Leverett,01540000,Public School District,https://www.union28.org
179,Lexington,01550000,Public School District,https://www.lexingtonma.org/
180,Libertas Academy Charter School (District),35140000,Charter District,https://libertasacademy.org
181,Lincoln,01570000,Public School District,https://www.lincnet.org
182,Lincoln-Sudbury,06950000,Public School District,https://www.lsrhs.net
183,Littleton,01580000,Public School District,https://www.littletonps.org
184,Longmeadow,01590000,Public School District,https://www.longmeadow.k12.ma.us
185,Lowell,01600000,Public School District,http://www.lowell.k12.ma.us/
186,Lowell Community Charter Public (District),04560000,Charter District,https://www.lccps.org
187,Lowell Middlesex Academy Charter (District),04580000,Charter District,https://www.lmacs.org
